NSE,15 November 2016,GODREJ CONSUMER,BUY,2,1356.75,-2713.5
NSE,15 November 2016,CANARA BANK,SELL,-22,318,6996
BSE,16 November 2016,UNION BANK OF I,SELL,-22,147.26,3239.72
NSE,16 November 2016,SBI,SELL,-22,277.41,6103.02
NSE,16 November 2016,PIRAMAL ENTERPR,BUY,6,1434.24,-8605.44
BSE,18 November 2016,T V S MOTOR COM,BUY,17,364.51,-6196.67
NSE,18 November 2016,UNION BANK OF I,SELL,-40,155.57,6222.8
NSE,18 November 2016,PIRAMAL ENTERPR,BUY,1,1440.22,-1440.22
NSE,28 November 2016,EICHER MOTORS L,BUY,1,20295.98,-20295.98
BSE,05 December 2016,UNION BANK OF I,SELL,-166,141.39,23470.74
BSE,05 December 2016,TATA MOTORS LTD,BUY,51,439.19,-22398.69
BSE,07 December 2016,CANARA BANK,SELL,-101,306.46,30952.46
NSE,07 December 2016,SUN PHARMACEUTI,BUY,46,666.32,-30650.72
NSE,09 December 2016,CANARA BANK,SELL,-62,313.28,19423.36
NSE,09 December 2016,ASHOK LEYLAND L,BUY,6,79.8,-478.8
NSE,09 December 2016,ASHOK LEYLAND L,BUY,246,79.9,-19655.4
BSE,21 December 2016,SPICEJET LTD,SELL,-168,59.85,10054.8
BSE,21 December 2016,MARUTI SUZUKI I,BUY,2,5171.73,-10343.46
NSE,21 December 2016,SUN PHARMACEUTI,BUY,16,621.29,-9940.64
NSE,21 December 2016,STRIDES SHASUN,SELL,-10,1060.17,10601.7
BSE,22 December 2016,SPICEJET LTD,SELL,-168,59.7,10029.6
BSE,22 December 2016,PIRAMAL ENTERPR,BUY,1,1506.5,-1506.5
BSE,22 December 2016,PIRAMAL ENTERPR,BUY,17,1513.53,-25730.01
BSE,22 December 2016,MARUTI SUZUKI I,BUY,2,5140.07,-10280.14
NSE,22 December 2016,STRIDES SHASUN,SELL,-27,1047.24,28275.48
NSE,27 December 2016,SUN PHARMACEUTI,BUY,52,621.59,-32322.68
NSE,27 December 2016,RBL BANK LTD,BUY,2,333.21,-666.42
NSE,27 December 2016,DR REDDYS LABOR,SELL,-11,2991.96,32911.56
NSE,06 January 2017,INOX LEISURE LI,SELL,-10,229.84,2298.4
NSE,06 January 2017,STERLITE TECHNO,BUY,28,103.87,-2908.36
BSE,06 January 2017,MOSER BAER (IND,SELL,-15,7.4,111
BSE,06 January 2017,STERLITE TECHNO,BUY,37,104.22,-3856.14
NSE,12 January 2017,ASHOK LEYLAND L,SELL,-110,83.58,9193.8
NSE,12 January 2017,LUPIN LIMITED,BUY,6,1507.5,-9045
NSE,12 January 2017,STERLITE TECHNO,BUY,5,103.5,-517.5
BSE,12 January 2017,LUPIN LIMITED,BUY,6,1496.95,-8981.7
BSE,12 January 2017,SPICEJET LTD,SELL,-150,63.68,9552
NSE,13 January 2017,TATA MOTORS LTD,BUY,27,513.56,-13866.12
NSE,13 January 2017,TATA MOTORS LTD,BUY,29,514.66,-14925.14
BSE,13 January 2017,SPICEJET LTD,SELL,-220,65.57,14425.4
BSE,13 January 2017,SPICEJET LTD,SELL,-240,65.67,15760.8
BSE,13 January 2017,STERLITE TECHNO,BUY,4,103.82,-415.28
BSE,13 January 2017,TATA MOTORS LTD,BUY,2,514.46,-1028.92
NSE,16 February 2017,LUPIN LIMITED,BUY,12,1441.07,-17292.84
BSE,16 February 2017,SPICEJET LTD,SELL,-297,60.5,17968.5
NSE,27 February 2017,RBL BANK LTD,SELL,-2,476.11,952.22
BSE,28 February 2017,TATA MOTORS LTD,BUY,13,458.78,-5964.14
NSE,01 March 2017,SBI,SELL,-67,271.04,18159.68
NSE,01 March 2017,TATA MOTORS LTD,BUY,40,452.75,-18110
NSE,14 March 2017,LUPIN LIMITED,BUY,20,1460.21,-29204.2
BSE,14 March 2017,SBI,SELL,-110,273.62,30098.2
NSE,31 March 2017,LUPIN LIMITED,BUY,6,1457.25,-8743.5
NSE,07 April 2017,KARNATAKA BANK,BUY,340,147.23,-50058.2
BSE,10 April 2017,T V S MOTOR COM,SELL,-25,473.27,11831.75
BSE,10 April 2017,LUPIN LIMITED,BUY,8,1422.08,-11376.64
BSE,13 April 2017,PIRAMAL ENTERPR,SELL,-5,2131.29,10656.45
BSE,13 April 2017,PIRAMAL ENTERPR,SELL,-5,2128.3,10641.5
NSE,13 April 2017,KARNATAKA BANK,BUY,130,157.48,-20472.4
NSE,17 April 2017,KARNATAKA BANK,BUY,170,153.26,-26054.2
